iter	Passed	Remaining
655	41199	21604
656	41261	21541
657	41337	21485
658	41391	21418
659	41459	21357
660	41504	21286
661	41569	21224
662	41666	21178
663	41721	21112
664	41795	21054
665	41866	20996
666	41975	20956
667	42058	20903
668	42103	20831
669	42182	20776
670	42261	20721
671	42334	20663
672	42413	20607
673	42467	20540
674	42559	20491
675	42611	20423
676	42673	20359
677	42725	20291
678	42798	20233
679	42875	20176
680	42939	20114
681	43028	20062
682	43085	19997
683	43129	19925
684	43171	19852
685	43254	19798
686	43301	19728
687	43374	19669
688	43423	19600
689	43484	19536
690	43565	19481
691	43628	19418
692	43711	19364
693	43772	19300
694	43833	19236
695	43909	19178
696	43973	19115
697	44029	19050
698	44097	18988
699	44154	18923
700	44197	18851
701	44276	18795
702	44367	18744
703	44430	18680
704	44520	18629
705	44547	18550
706	44658	18507
707	44731	18448
708	44778	18378
709	44839	18314
710	44903	18252
711	44958	18185
712	45026	18124
713	45082	18058
714	45161	18001
715	45225	17938
716	45310	17884
717	45394	17828
718	45466	17769
719	45530	17706
720	45600	17645
721	45685	17590
722	45754	17529
723	45802	17460
724	45891	17407
725	45974	17351
726	46046	17291
727	46116	17230
728	46171	17163
729	46234	17100
730	46317	17044
731	46378	16980
732	46445	16918
733	46506	16853
734	46609	16804
735	46692	16748
736	46754	16684
737	46862	16636
738	46981	16592
739	47041	16528
740	47082	16456
741	47150	16394
742	47195	16324
743	47248	16257
744	47320	16196
745	47360	16125
746	47424	16062
747	47478	15995
748	47550	15934
749	47606	15868
750	47677	15807
751	47737	15743
752	47817	15685
753	47884	15622
754	47935	15555
755	47995	15490
756	48105	15442
757	48173	15379
758	48292	15334
759	48348	15268
760	48406	15202
761	48546	15162
762	48610	15099
763	48660	15031
764	48782	14985
765	48861	14926
766	49027	14893
767	49080	14826
768	49137	14760
769	49184	14691
770	49234	14623
771	49290	14557
772	49341	14489
773	49473	14445
774	49525	14378
775	49604	14318
776	49686	14260
777	49768	14201
778	49874	14149
779	49944	14086
780	50010	14023
781	50104	13967
782	50221	13918
783	50287	13854
784	50337	13786
785	50427	13729
786	50475	13660
787	50528	13594
788	50589	13528
789	50648	13463
790	50735	13405
791	50789	13338
792	50870	13278
793	50927	13213
794	51009	13153
795	51108	13098
796	51155	13029
797	51202	12960
798	51263	12895
799	51324	12831
800	51377	12764
801	51447	12701
802	51510	12637
803	51573	12572
804	51638	12508
805	51724	12449
806	51782	12384
807	51826	12315
808	51907	12254
809	51953	12186
810	52002	12118
811	52070	12055
812	52140	11992
813	52228	11934
814	52338	11880
815	52395	11814
816	52465	11751
817	52524	11686
818	52604	11625
819	52681	11564
820	52714	11493
821	52761	11425
822	52864	11369
823	52958	11311
824	53002	11242
825	53064	11178
826	53124	11113
827	53174	11045
828	53243	10982
829	53319	10920
830	53481	10876
831	53543	10811
832	53590	10743
833	53634	10675
834	53699	10611
835	53750	10544
836	53798	10476
837	53858	10411
838	53933	10349
839	53998	10285
840	54072	10222
841	54143	10159
842	54196	10093
843	54259	10029
844	54295	9959
845	54346	9892
846	54405	9827
847	54464	9762
848	54520	9696
849	54585	9632
850	54646	9567
851	54705	9502
852	54774	9439
853	54840	9375
854	54889	9308
855	54968	9246
856	55031	9182
857	55138	9125
858	55207	9061
859	55269	8997
860	55328	8932
861	55381	8866
862	55472	8806
863	55521	8739
864	55580	8674
865	55646	8610
866	55710	8546
867	55783	8483
868	55864	8421
869	55922	8356
870	56004	8294
871	56076	8231
872	56160	8170
873	56240	8107
874	56291	8041
875	56380	7980
876	56476	7920
877	56525	7854
878	56591	7790
879	56662	7726
880	56730	7662
881	56803	7599
882	56872	7535
883	56927	7470
884	56993	7405
885	57037	7338
886	57089	7272
887	57140	7206
888	57189	7140
889	57233	7073
890	57273	7006
891	57322	6940
892	57405	6878
893	57541	6822
894	57609	6758
895	57659	6692
896	57720	6627
897	57771	6561
898	57845	6498
899	57908	6434
900	57962	6368
901	58027	6304
902	58071	6238
903	58128	6172
904	58174	6106
905	58238	6042
906	58352	5983
907	58413	5918
908	58468	5853
909	58554	5791
910	58624	5727
911	58711	5665
912	58778	5600
913	58826	5535
914	58905	5472
915	58963	5407
916	59028	5342
917	59084	5277
918	59144	5212
919	59181	5146
920	59218	5079
921	59299	5016
922	59328	4949
923	59397	4885
924	59460	4821
925	59553	4759
926	59661	4698
927	59729	4634
928	59797	4570
929	59875	4506
930	59931	4441
931	59995	4377
932	60062	4313
933	60140	4249
934	60208	4185
935	60273	4121
936	60351	4057
937	60389	3991
938	60454	3927
939	60532	3863
940	60602	3799
941	60655	3734
942	60709	3669
943	60764	3604
944	60815	3539
945	60865	3474
946	60891	3407
947	60972	3344
948	61041	3280
949	61119	3216
950	61181	3152
951	61244	3087
952	61295	3022
953	61350	2958
954	61411	2893
955	61459	2828
956	61525	2764
957	61577	2699
958	61634	2635
959	61673	2569
960	61726	2505
961	61788	2440
962	61836	2375
963	61876	2310
964	61978	2247
965	62043	2183
966	62124	2120
967	62206	2056
968	62274	1992
969	62346	1928
970	62404	1863
971	62469	1799
972	62505	1734
973	62536	1669
974	62628	1605
975	62683	1541
976	62733	1476
977	62771	1412
978	62830	1347
979	62880	1283
980	62944	1219
981	63001	1154
982	63045	1090
983	63118	1026
984	63150	961
985	63179	897
986	63232	832
987	63263	768
988	63300	704
989	63331	639
990	63367	575
991	63453	511
992	63499	447
993	63552	383
994	63627	319
995	63676	255
996	63725	191
997	63784	127
998	63869	63
999	63925	0
